20240520	23:41:01	b8aa186c-eff7-4d38-8c1d-b124b8b07786	POST	undefined	/auth
20240520	23:41:09	127ea2d9-f961-44e4-a9f3-f7eeb5a69ef9	POST	undefined	/employees
20240520	23:42:53	097c6f4e-9af5-48ca-8f11-85b407c2aaa7	POST	undefined	/auth
20240520	23:43:01	f5876528-2281-4e8d-91b2-abd60fd426ef	POST	undefined	/employees
20240520	23:43:41	04fff1b2-e5bf-4801-9d68-3b5162a8d69a	POST	undefined	/auth
20240520	23:43:47	6f780fef-cd65-48f3-8362-dcd0637b31c2	POST	undefined	/employees
20240520	23:45:52	42482d0e-4438-4237-b356-37d1aaa21b6b	POST	undefined	/auth
20240520	23:46:01	6d53c443-3cc7-4864-9eea-54d459c6a275	POST	undefined	/employees
20240520	23:46:23	8dddccd2-7e0b-440b-b183-249f4211e3c0	POST	undefined	/auth
20240520	23:46:36	135c360b-b707-428f-b4e4-cb3e25659905	DELETE	undefined	/employees
20240520	23:47:22	51effe7a-a5e0-4be1-8f48-a6938f3461d9	POST	undefined	/auth
20240520	23:47:28	9616da26-797e-4469-92a7-df609ff64fc1	DELETE	undefined	/employees
